,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1497133800.0,2824.0334285714284,2835.1042670350407,2823.4646009478884,2844.901,2793.0,2835.691,2830.0,1497133800.0,1497135600.0,,,,463.9607903638,2017-06-11 03:30:00
1497135600.0,2829.9272857142855,2834.789675780966,2823.8829927874654,2846.522,2787.891,2796.287,2835.69,1497135600.0,1497137400.0,,,,463.9607903638,2017-06-11 04:00:00
1497137400.0,2812.3614285714284,2827.825236020216,2823.683195402685,2834.866,2796.287,2816.214,2796.287,1497137400.0,1497139200.0,,,,463.9607903638,2017-06-11 04:30:00
1497139200.0,2813.303,2825.3722048805544,2823.846160083173,2834.86,2800.0,2819.33,2816.214,1497139200.0,1497141000.0,,,,463.9607903638,2017-06-11 05:00:00
1497141000.0,2815.147857142857,2823.679271074018,2824.1980956489397,2834.0,2805.665,2811.0,2819.33,1497141000.0,1497142800.0,,,,463.9607903638,2017-06-11 05:30:00
1497142800.0,2814.1248571428573,2821.230067342802,2824.3028927080823,2836.397,2802.608,2810.208,2811.0,1497142800.0,1497144600.0,,,,463.9607903638,2017-06-11 06:00:00
1497144600.0,2811.7374285714286,2818.8754257352216,2824.3799733588226,2838.028,2802.464,2821.24,2810.208,1497144600.0,1497146400.0,,,,463.9607903638,2017-06-11 06:30:00
1497146400.0,2816.6251428571427,2818.4836416367375,2824.556557095844,2830.0,2805.9,2811.0,2821.239,1497146400.0,1497148200.0,,,,463.9607903638,2017-06-11 07:00:00
1497148200.0,2813.8125714285716,2816.6940061199834,2824.5660194241086,2824.35,2793.038,2795.0,2811.0,1497148200.0,1497150000.0,,,,463.9607903638,2017-06-11 07:30:00
1497150000.0,2803.3199999999997,2812.2400449661654,2824.287734968021,2805.999,2781.893,2799.991,2804.21,1497150000.0,1497151800.0,,,,463.9607903638,2017-06-11 08:00:00
1497151800.0,2800.137714285714,2810.2199746719907,2824.118538185742,2819.999,2787.547,2790.0,2799.992,1497151800.0,1497153600.0,,,,463.9607903638,2017-06-11 08:30:00
1497153600.0,2793.5688571428573,2806.3347135123595,2823.7757398167605,2815.0,2785.31,2812.999,2790.0,1497153600.0,1497155400.0,,,,463.9607903638,2017-06-11 09:00:00
1497155400.0,2804.5695714285716,2807.4263538292303,2823.7308376422848,2822.81,2805.762,2807.0,2812.999,1497155400.0,1497157200.0,,,,463.9607903638,2017-06-11 09:30:00
1497157200.0,2806.2854285714284,2806.853522355621,2823.562693784954,2829.978,2802.878,2810.392,2807.0,1497157200.0,1497159000.0,,,,463.9607903638,2017-06-11 10:00:00
1497159000.0,2809.7952857142855,2806.795925257425,2823.4774619139107,2828.855,2792.101,2808.229,2810.385,1497159000.0,1497160800.0,,,,463.9607903638,2017-06-11 10:30:00
1497160800.0,2808.6714285714284,2807.26644995218,2823.285425358588,2829.192,2790.024,2822.1,2808.23,1497160800.0,1497162600.0,,,,463.9607903638,2017-06-11 11:00:00
1497162600.0,2816.464285714286,2809.5165365039607,2823.2951959475495,2830.0,2809.336,2830.0,2822.1,1497162600.0,1497164400.0,,,,463.9607903638,2017-06-11 11:30:00
1497164400.0,2824.6327142857144,2812.680233695357,2823.4376518476247,2830.0,2811.021,2826.097,2830.0,1497164400.0,1497166200.0,,,,463.9607903638,2017-06-11 12:00:00
1497166200.0,2826.641142857143,2814.932936916143,2823.5768574704016,2845.125,2821.823,2845.125,2826.098,1497166200.0,1497168000.0,,,,463.9607903638,2017-06-11 12:30:00
1497168000.0,2837.5277142857144,2820.0232558616185,2824.014730944476,2845.125,2830.0,2835.695,2845.125,1497168000.0,1497169800.0,,,,463.9607903638,2017-06-11 13:00:00
1497169800.0,2837.0181428571427,2822.5838094221062,2824.2907976569604,2850.0,2818.961,2837.999,2835.695,1497169800.0,1497171600.0,,,,463.9607903638,2017-06-11 13:30:00
1497171600.0,2838.358714285714,2825.3869112540815,2824.5964894914296,2855.965,2828.01,2836.423,2837.999,1497171600.0,1497173400.0,,,,463.9607903638,2017-06-11 14:00:00
1497173400.0,2836.7692857142856,2827.88547009512,2824.870635705815,2855.938,2815.0,2829.932,2843.992,1497173400.0,1497175200.0,,,,463.9607903638,2017-06-11 14:30:00
1497175200.0,2832.9389999999994,2828.844244988726,2825.0345533290324,2852.809,2823.7,2852.685,2827.988,1497175200.0,1497177000.0,,,,463.9607903638,2017-06-11 15:00:00
